BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-08-06,124.7,68355310,8516305360.6
TQBR,2014-08-07,126.92,64225030,8035675333.8
TQBR,2014-08-08,126.55,56280080,7208992963.7
TQBR,2014-08-11,128.3,43145400,5563041254.1
TQBR,2014-08-12,128.0,38147150,4899509934.0
TQBR,2014-08-13,131.0,57387480,7484888814.2
TQBR,2014-08-14,131.41,43412620,5702388599.6
TQBR,2014-08-15,132.67,42674890,5645222591.1
TQBR,2014-08-18,134.29,28598600,3819335867.5
TQBR,2014-08-19,136.2,38645630,5236730805.7
TQBR,2014-08-20,136.7,22419120,3050935774.3
TQBR,2014-08-21,136.49,34863190,4764128532.0
TQBR,2014-08-22,135.0,38272800,5169448385.9
TQBR,2014-08-25,136.09,16639450,2261117318.6
TQBR,2014-08-26,135.0,27154630,3691233173.1
TQBR,2014-08-27,135.51,24990540,3397133661.4
TQBR,2014-08-28,133.8,47627370,6352776119.9
TQBR,2014-08-29,131.95,35728900,4749572569.8
TQBR,2014-09-01,132.32,41613580,5530810751.5
TQBR,2014-09-02,133.32,25543730,3381374723.8
TQBR,2014-09-03,138.26,64491970,8868576725.8
TQBR,2014-09-04,138.15,43311610,5974666515.2
TQBR,2014-09-05,139.0,37267050,5172057768.9
TQBR,2014-09-08,139.0,31454520,4349613611.1
TQBR,2014-09-09,139.02,26611960,3719342102.0
TQBR,2014-09-10,139.2,20441450,2835967889.2
TQBR,2014-09-11,136.65,34559170,4768604028.4
TQBR,2014-09-12,137.56,34988310,4808871662.2
TQBR,2014-09-15,136.0,40717130,5545696158.0
TQBR,2014-09-16,138.56,40431640,5576171161.8
TQBR,2014-09-17,137.0,39757700,5456884601.4
TQBR,2014-09-18,138.2,29247410,4024999407.9
TQBR,2014-09-19,135.99,45103990,6151334689.3
TQBR,2014-09-22,135.05,27258240,3701730028.5
TQBR,2014-09-23,136.5,29141830,3971163511.0
TQBR,2014-09-24,137.8,32271690,4450427006.6
TQBR,2014-09-25,136.92,31511120,4350884089.8
TQBR,2014-09-26,137.11,34925980,4778087287.7
TQBR,2014-09-29,135.77,36985740,5067872051.0
TQBR,2014-09-30,137.9,50261030,6905059785.2
TQBR,2014-10-01,137.26,37398300,5174974593.3
TQBR,2014-10-02,134.25,42243810,5717475752.0
TQBR,2014-10-03,135.8,32174540,4388627906.9
TQBR,2014-10-06,138.9,41322460,5717171331.5
TQBR,2014-10-07,137.1,28875580,3979566524.8
TQBR,2014-10-08,134.61,34466460,4684094079.7
TQBR,2014-10-09,135.64,37768210,5134300338.5
TQBR,2014-10-10,133.21,42598080,5677475679.9
TQBR,2014-10-13,135.25,30923230,4175994087.1
TQBR,2014-10-14,135.5,35709120,4847741560.8
TQBR,2014-10-15,134.5,32324170,4370181956.4
TQBR,2014-10-16,132.41,47983260,6426483004.3
TQBR,2014-10-17,134.6,30074200,4043868027.2
TQBR,2014-10-20,134.1,32118700,4320487086.2
TQBR,2014-10-21,134.0,24848020,3333233335.3
TQBR,2014-10-22,133.5,32439110,4329093979.6
TQBR,2014-10-23,133.5,36223010,4808424492.9
TQBR,2014-10-24,133.99,24372990,3246171800.7
TQBR,2014-10-27,134.07,31605210,4263702983.1
TQBR,2014-10-28,135.75,27903910,3782634259.9
TQBR,2014-10-29,138.5,47956500,6594814220.5
TQBR,2014-10-30,139.5,54633270,7589500301.4
TQBR,2014-10-31,141.5,71971660,10113564234.6
TQBR,2014-11-03,143.39,19660650,2806437113.9
TQBR,2014-11-05,143.2,47075250,6712207393.2
TQBR,2014-11-06,144.1,55716700,8066683667.6
TQBR,2014-11-07,144.5,87793540,12732566799.0
TQBR,2014-11-10,145.22,32004800,4649038287.7
TQBR,2014-11-11,143.71,40466110,5864693999.3
TQBR,2014-11-12,143.57,31585430,4553731581.4
TQBR,2014-11-13,141.84,34181920,4885752510.0
TQBR,2014-11-14,142.49,34971670,4971456441.6
TQBR,2014-11-17,142.67,21473850,3066044183.3
TQBR,2014-11-18,143.2,30196660,4308641777.0
TQBR,2014-11-19,143.98,20225140,2908010462.1
TQBR,2014-11-20,144.48,31754200,4582322287.3
TQBR,2014-11-21,145.01,34146350,4949911809.3
TQBR,2014-11-24,144.7,29558390,4276581273.5
TQBR,2014-11-25,144.13,25545000,3691973028.6
TQBR,2014-11-26,145.5,27683500,3999680716.1
TQBR,2014-11-27,143.19,44326410,6431856824.4
TQBR,2014-11-28,142.86,43623690,6254217126.9
TQBR,2014-12-01,144.1,74522900,10783455129.2
TQBR,2014-12-02,144.91,44697870,6481392809.7
TQBR,2014-12-03,146.23,48469440,7048084179.9
TQBR,2014-12-04,144.5,51131510,7486957367.9
TQBR,2014-12-05,140.5,33668820,4810765435.7
TQBR,2014-12-08,135.05,50861010,7049702300.0
TQBR,2014-12-09,135.24,32667510,4422270551.5
TQBR,2014-12-10,136.09,34416870,4726652459.6
TQBR,2014-12-11,134.01,36618580,4944440965.2
TQBR,2014-12-12,134.49,40757920,5484968254.9
TQBR,2014-12-15,130.29,64239030,8488431007.9
TQBR,2014-12-16,131.4,100754700,12940871887.4
TQBR,2014-12-17,131.0,85486950,11246151806.4
TQBR,2014-12-18,137.0,66286900,9066529597.9
TQBR,2014-12-19,138.7,44317130,5944609520.4
TQBR,2014-12-22,136.49,48457080,6681845155.9
TQBR,2014-12-23,133.4,31443660,4264797499.1
TQBR,2014-12-24,134.28,17416130,2333337497.1
TQBR,2014-12-25,134.8,11172590,1498275076.3
TQBR,2014-12-26,134.6,13334570,1805417063.8
TQBR,2014-12-29,135.5,28351300,3857164086.7
TQBR,2014-12-30,130.31,24784040,3258518278.7
TQBR,2015-01-05,133.95,18223370,2410730975.5
TQBR,2015-01-06,138.92,25297090,3451541875.0
TQBR,2015-01-08,146.46,32604900,4739748701.9
TQBR,2015-01-09,141.7,29508430,4203772914.7
TQBR,2015-01-12,140.22,25292180,3577341320.7
TQBR,2015-01-13,142.64,32919420,4675903439.3
TQBR,2015-01-14,146.3,37856670,5487005960.8
TQBR,2015-01-15,147.0,32851540,4854328887.0
TQBR,2015-01-16,149.6,32688170,4847186139.8
TQBR,2015-01-19,148.11,53470440,8077682513.9
TQBR,2015-01-20,145.75,32734660,4844605767.9
TQBR,2015-01-21,148.8,29863590,4413114219.8
TQBR,2015-01-22,151.5,55809050,8449287410.7
TQBR,2015-01-23,152.83,37332960,5672259037.8
TQBR,2015-01-26,148.0,28744250,4272002215.2
